Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,130,2443.79,0,2443.79,488.71,
No Discount,T&B Public,130,2443.79,0,2443.79,488.71,
Marketing CODE App Tap Wine,,2,41.16,22.18,63.34,8.24,
Marketing CODE App Tap Wine,T&B Public,2,41.16,22.18,63.34,8.24,
