Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,159,1761.91,0,1761.91,352.39,
No Discount,T&B Public,159,1761.91,0,1761.91,352.39,
Marketing - CODE App,,5,68.66,17.18,85.84,13.74,
Marketing - CODE App,T&B Public,5,68.66,17.18,85.84,13.74,
Marketing CODE App Tap Wine,,2,31.42,16.92,48.34,6.28,
Marketing CODE App Tap Wine,T&B Public,2,31.42,16.92,48.34,6.28,
Comp tvg Staff Discount 50%,,1,20.83,20.84,41.67,4.17,
Comp tvg Staff Discount 50%,T&B Public,1,20.83,20.84,41.67,4.17,
