Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Non-Alcoholic,,2,0,4.16,4.16,0,
Non-Alcoholic,Lafayette Gig,2,0,4.16,4.16,0,
