Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Comp Staff Drink 100%,,2,0,4.16,4.16,0,
Comp Staff Drink 100%,Lafayette Gig,2,0,4.16,4.16,0,
