Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,51,583.17,0,583.17,116.63,
No Discount,T&B Public,51,583.17,0,583.17,116.63,
Marketing CODE App Tap Wine,,5,27.63,14.87,42.5,5.52,
Marketing CODE App Tap Wine,T&B Public,5,27.63,14.87,42.5,5.52,
