Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Bottled Beer,,2,10,0,10,2,
Bottled Beer,T&B Public,2,10,0,10,2,
Wine,,24,322.53,7.87,330.4,64.52,
Wine,T&B Public,24,322.53,7.87,330.4,64.52,
Food,,3,55,0,55,11,
Food,T&B Public,3,55,0,55,11,
NA Beverage,,5,16.67,0,16.67,3.33,
NA Beverage,T&B Public,5,16.67,0,16.67,3.33,
