Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,32,389.57,0,389.57,77.93,
No Discount,T&B Public,32,389.57,0,389.57,77.93,
Marketing CODE App Tap Wine,,2,14.63,7.87,22.5,2.92,
Marketing CODE App Tap Wine,T&B Public,2,14.63,7.87,22.5,2.92,
