Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Comp Goodwill Open £,,1,11.41,38.59,50,2.28,
Comp Goodwill Open £,T&B Public,1,11.41,38.59,50,2.28,
