Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Comp tvg Staff Discount 50%,,5,42.92,42.91,85.83,8.58,
Comp tvg Staff Discount 50%,In Horto Public,5,42.92,42.91,85.83,8.58,
No Discount,,124,1431.66,0,1431.66,286.34,
No Discount,In Horto Public,124,1431.66,0,1431.66,286.34,
