Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,133,1795.03,0,1795.03,358.97,
No Discount,T&B Public,133,1795.03,0,1795.03,358.97,
Marketing CODE App Tap Wine,,1,16.25,8.75,25,3.25,
Marketing CODE App Tap Wine,T&B Public,1,16.25,8.75,25,3.25,
Comp Goodwill 100%,,5,0,112.51,112.51,0,
Comp Goodwill 100%,T&B Public,5,0,112.51,112.51,0,
