Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,242,1884.88,0,1884.88,377.12,
No Discount,Carrubo Public,242,1884.88,0,1884.88,377.12,
Comp tvg Staff Discount 50%,,11,42.49,42.51,85,8.51,
Comp tvg Staff Discount 50%,Carrubo Public,11,42.49,42.51,85,8.51,
