Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,37,519.58,0,519.58,103.92,
No Discount,T&B Public,37,519.58,0,519.58,103.92,
Comp Goodwill 50%,,4,58.32,58.36,116.68,11.68,
Comp Goodwill 50%,T&B Public,4,58.32,58.36,116.68,11.68,
Marketing CODE App Tap Wine,,2,10.84,5.82,16.66,2.16,
Marketing CODE App Tap Wine,T&B Public,2,10.84,5.82,16.66,2.16,
