Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,118,1573.71,0,1573.71,314.79,
No Discount,T&B Public,118,1573.71,0,1573.71,314.79,
