Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Community Event Discount,,98,783,261,1044,70.48,
Community Event Discount,JEFF & BLUE'S,98,783,261,1044,70.48,
No Discount,,2,33,0,33,2.96,
No Discount,JEFF & BLUE'S,2,33,0,33,2.96,
