Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,90,1181.09,0,1181.09,236.21,
No Discount,T&B Public,90,1181.09,0,1181.09,236.21,
Marketing - CODE App,,1,38.67,9.66,48.33,7.73,
Marketing - CODE App,T&B Public,1,38.67,9.66,48.33,7.73,
Marketing CODE App Tap Wine,,1,18.42,9.91,28.33,3.68,
Marketing CODE App Tap Wine,T&B Public,1,18.42,9.91,28.33,3.68,
