Sales Category,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Food,,58,536.99,24.25,561.24,107.41,
Food,Audrey's Public,58,536.99,24.25,561.24,107.41,
Non-Alcoholic,,88,237.21,16.44,253.65,47.38,
Non-Alcoholic,Audrey's Public,88,237.21,16.44,253.65,47.38,
Cocktails,,1,8.33,0,8.33,1.67,
Cocktails,Audrey's Public,1,8.33,0,8.33,1.67,
