Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,126,1872.15,0,1872.15,374.45,
No Discount,T&B Public,126,1872.15,0,1872.15,374.45,
Comp Goodwill Open £,,1,0.08,19.92,20,0.02,
Comp Goodwill Open £,T&B Public,1,0.08,19.92,20,0.02,
Marketing - CODE App,,8,96.01,23.98,119.99,19.19,
Marketing - CODE App,T&B Public,8,96.01,23.98,119.99,19.19,
