Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,287,3116.36,46.67,3163.03,623.19,
No Discount,T&B Public,287,3116.36,46.67,3163.03,623.19,
Comp Goodwill Open £,,6,139.98,35.04,175.02,28.02,
Comp Goodwill Open £,T&B Public,6,139.98,35.04,175.02,28.02,
