Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,85,1166.3,0,1166.3,233.2,
No Discount,T&B Public,85,1166.3,0,1166.3,233.2,
Marketing - CODE App,,24,195,48.75,243.75,39,
Marketing - CODE App,T&B Public,24,195,48.75,243.75,39,
