Discount Name,Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,89,1247.12,0,1247.12,249.38,
No Discount,T&B Public,89,1247.12,0,1247.12,249.38,
Comp Goodwill Open £,,2,50.83,29.17,80,10.17,
Comp Goodwill Open £,T&B Public,2,50.83,29.17,80,10.17,
